@RELATION "multilabel_instances_train: -C -3"
@ATTRIBUTE docid        STRING
@ATTRIBUTE mention      STRING
@ATTRIBUTE offset       NUMERIC
@ATTRIBUTE link         STRING
@ATTRIBUTE swords  NUMERIC
@ATTRIBUTE sf         NUMERIC
@ATTRIBUTE sdf      NUMERIC
@ATTRIBUTE scand      NUMERIC
@ATTRIBUTE mpos      NUMERIC
@ATTRIBUTE msent     NUMERIC
@ATTRIBUTE dwords     NUMERIC
@ATTRIBUTE dents   NUMERIC
@ATTRIBUTE Aclass        {0,1}
@ATTRIBUTE Bclass        {0,1}
@ATTRIBUTE Tclass        {0,1}

@DATA
"-docstart- (999testa lebed)","maskhadov",461,"NULL",1.0,2.0,10.0,1.0,0.91,65.0,80.0,12.0,1,1,0
"-docstart- (999testa lebed)","khasavyurt",35,"NULL",1.0,1.0,2.0,2.0,0.07,215.0,80.0,12.0,1,1,0
"-docstart- (999testa lebed)","aslan maskhadov",139,"NULL",2.0,1.0,10.0,1.0,0.27,215.0,80.0,12.0,1,1,1
"-docstart- (999testa lebed)","alexander lebed",84,"NULL",2.0,1.0,16.0,1.0,0.17,215.0,80.0,12.0,1,1,1
"-docstart- (998testa yeltsin)","yastrzhembsky",921,"NULL",1.0,3.0,3.0,0.0,0.8,121.0,189.0,27.0,1,1,0
"-docstart- (998testa yeltsin)","yastrzhembsky",555,"NULL",1.0,3.0,3.0,0.0,0.48,116.0,189.0,27.0,1,1,0
"-docstart- (998testa yeltsin)","sergei yastrzhembsky",192,"NULL",2.0,1.0,3.0,1.0,0.17,174.0,189.0,27.0,1,1,1
"-docstart- (998testa yeltsin)","interfax",40,"NULL",1.0,2.0,14.0,1.0,0.03,49.0,189.0,27.0,1,1,1
"-docstart- (998testa yeltsin)","interfax",154,"NULL",1.0,2.0,14.0,1.0,0.13,174.0,189.0,27.0,1,1,0
"-docstart- (998testa yeltsin)","central clinical hospital",635,"NULL",3.0,1.0,2.0,1.0,0.55,142.0,189.0,27.0,1,1,1
"-docstart- (998testa yeltsin)","boris yeltsin",86,"NULL",2.0,1.0,18.0,1.0,0.07,174.0,189.0,27.0,1,1,1
"-docstart- (997testa polish)","slobodan milosevic",730,"NULL",2.0,1.0,2.0,1.0,0.64,120.0,172.0,24.0,1,1,1
"-docstart- (997testa polish)","dariusz rosati",89,"NULL",2.0,1.0,4.0,1.0,0.08,225.0,172.0,24.0,1,1,1
