@RELATION "oneclass_instances_R1_Tag_train"
@ATTRIBUTE docid        STRING
@ATTRIBUTE mention      STRING
@ATTRIBUTE offset       NUMERIC
@ATTRIBUTE link         STRING
@ATTRIBUTE swords  NUMERIC
@ATTRIBUTE sf         NUMERIC
@ATTRIBUTE sdf      NUMERIC
@ATTRIBUTE scand      NUMERIC
@ATTRIBUTE mpos      NUMERIC
@ATTRIBUTE msent     NUMERIC
@ATTRIBUTE dwords     NUMERIC
@ATTRIBUTE dents   NUMERIC
@ATTRIBUTE Class        {1}

@DATA
"-docstart- (999testa lebed)","aslan maskhadov",139,"NULL",2.0,1.0,10.0,1.0,0.27,215.0,80.0,12.0,1
"-docstart- (999testa lebed)","alexander lebed",84,"NULL",2.0,1.0,16.0,1.0,0.17,215.0,80.0,12.0,1
"-docstart- (998testa yeltsin)","sergei yastrzhembsky",192,"NULL",2.0,1.0,3.0,1.0,0.17,174.0,189.0,27.0,1
"-docstart- (998testa yeltsin)","naina yeltsin",481,"NULL",2.0,3.0,2.0,1.0,0.42,116.0,189.0,27.0,1
"-docstart- (998testa yeltsin)","naina yeltsin",224,"NULL",2.0,3.0,2.0,1.0,0.19,52.0,189.0,27.0,1
"-docstart- (998testa yeltsin)","interfax",40,"NULL",1.0,2.0,14.0,1.0,0.03,49.0,189.0,27.0,1
"-docstart- (998testa yeltsin)","central clinical hospital",635,"NULL",3.0,1.0,2.0,1.0,0.55,142.0,189.0,27.0,1
"-docstart- (998testa yeltsin)","boris yeltsin",86,"NULL",2.0,1.0,18.0,1.0,0.07,174.0,189.0,27.0,1
"-docstart- (997testa polish)","slobodan milosevic",730,"NULL",2.0,1.0,2.0,1.0,0.64,120.0,172.0,24.0,1
"-docstart- (997testa polish)","dariusz rosati",89,"NULL",2.0,1.0,4.0,1.0,0.08,225.0,172.0,24.0,1
"-docstart- (996testa tajik)","pamir mountains",250,"NULL",2.0,1.0,0.0,1.0,0.1,235.0,411.0,25.0,1
"-docstart- (995testa top)","alexander lukashenko",119,"NULL",2.0,1.0,1.0,1.0,0.05,179.0,356.0,30.0,1
"-docstart- (993testa ruling)","organisation for security and cooperation in europe",934,"NULL",7.0,1.0,9.0,1.0,0.69,184.0,211.0,20.0,1
"-docstart- (993testa ruling)","john kornblum",346,"NULL",2.0,1.0,2.0,1.0,0.26,177.0,211.0,20.0,1
"-docstart- (993testa ruling)","alija izetbegovic",440,"NULL",2.0,1.0,1.0,1.0,0.33,177.0,211.0,20.0,1
"-docstart- (992testa lebed)","chechen republic",399,"NULL",2.0,1.0,1.0,2.0,0.29,214.0,224.0,28.0,1
"-docstart- (992testa lebed)","boris yeltsin",1156,"NULL",2.0,1.0,18.0,1.0,0.83,134.0,224.0,28.0,1
"-docstart- (992testa lebed)","aslan maskhadov",146,"NULL",2.0,1.0,10.0,1.0,0.1,233.0,224.0,28.0,1
"-docstart- (992testa lebed)","alexander lebed",96,"NULL",2.0,1.0,16.0,1.0,0.07,233.0,224.0,28.0,1
"-docstart- (991testa yeltsin)","itar-tass",1213,"NULL",1.0,1.0,8.0,2.0,0.72,168.0,275.0,38.0,1
"-docstart- (991testa yeltsin)","interfax",263,"NULL",1.0,2.0,14.0,1.0,0.16,237.0,275.0,38.0,1
"-docstart- (991testa yeltsin)","boris yeltsin",144,"NULL",2.0,1.0,18.0,1.0,0.09,237.0,275.0,38.0,1
"-docstart- (991testa yeltsin)","aslan maskhadov",700,"NULL",2.0,1.0,10.0,1.0,0.42,190.0,275.0,38.0,1
"-docstart- (991testa yeltsin)","alexander lebed",220,"NULL",2.0,1.0,16.0,1.0,0.13,237.0,275.0,38.0,1
"-docstart- (990testa chad)","nagoum yamassoum",200,"NULL",2.0,1.0,1.0,1.0,0.24,228.0,128.0,5.0,1
"-docstart- (990testa chad)","n'djamena university",105,"NULL",2.0,1.0,1.0,0.0,0.12,228.0,128.0,5.0,1
"-docstart- (99 miss)","reuters",697,"NULL",1.0,2.0,111.0,5.0,0.25,147.0,491.0,37.0,1
"-docstart- (99 miss)","reuters",2423,"NULL",1.0,2.0,111.0,5.0,0.87,50.0,491.0,37.0,1
"-docstart- (99 miss)","nikki campbell",1430,"NULL",2.0,1.0,1.0,1.0,0.52,69.0,491.0,37.0,1
